districts,URL,价格（元/m^2）
静安,https://sh.lianjia.com/zufang/jingan/rt200600000001/,155.76
徐汇,https://sh.lianjia.com/zufang/xuhui/rt200600000001/,84.535
黄浦,https://sh.lianjia.com/zufang/huangpu/rt200600000001/,142.285
长宁,https://sh.lianjia.com/zufang/changning/rt200600000001/,117.37
普陀,https://sh.lianjia.com/zufang/putuo/rt200600000001/,115.355
浦东,https://sh.lianjia.com/zufang/pudong/rt200600000001/,78.595
宝山,https://sh.lianjia.com/zufang/baoshan/rt200600000001/,51.345
虹口,https://sh.lianjia.com/zufang/hongkou/rt200600000001/,111.25
杨浦,https://sh.lianjia.com/zufang/yangpu/rt200600000001/,91.345
闵行,https://sh.lianjia.com/zufang/minhang/rt200600000001/,78.12
金山,https://sh.lianjia.com/zufang/jinshan/rt200600000001/,22.115
嘉定,https://sh.lianjia.com/zufang/jiading/rt200600000001/,63.5
崇明,https://sh.lianjia.com/zufang/chongming/rt200600000001/,55.205
奉贤,https://sh.lianjia.com/zufang/fengxian/rt200600000001/,19.87
松江,https://sh.lianjia.com/zufang/songjiang/rt200600000001/,54.87
青浦,https://sh.lianjia.com/zufang/qingpu/rt200600000001/,48.53
平均价格,,137.905
